Level,Name,Inclusive Samples,Exclusive Samples,% Inclusive,% Exclusive,Details
0,ucrtbased.dll,364,0,0.994535519125683,0,
1,ucrtbased.dll!thread_start<unsigned int (__cdecl*)(void *),1>,364,0,0.994535519125683,0,ucrtbased!thread_start<unsigned int (__cdecl*)(void *),1>:thread.cpp:77
2,mt_iocp_server_viewoptisector.exe!std::thread::_Invoke<std::tuple<void (__cdecl*)(void *,unsigned __int64),void *,unsigned __int64>,0,1,2>,364,0,0.994535519125683,0,mt_iocp_server_viewOptiSector!std::thread::_Invoke<std::tuple<void (__cdecl*)(void *,unsigned __int64),void *,unsigned __int64>,0,1,2>:thread:39
3,mt_iocp_server_viewoptisector.exe!std::invoke<void (__cdecl*)(void *,unsigned __int64),void *,unsigned __int64>,364,0,0.994535519125683,0,mt_iocp_server_viewOptiSector!std::invoke<void (__cdecl*)(void *,unsigned __int64),void *,unsigned __int64>:type_traits:1592
4,mt_iocp_server_viewoptisector.exe!D:\Projects\Programming\GameSeverStudy\2021_WF_STRESS\mt_iocp_server_viewOptiSector\st_iocp_server\x64\Debug\iocp_main.obj,318,0,0.868852459016393,0,mt_iocp_server_viewOptiSector!D:\Projects\Programming\GameSeverStudy\2021_WF_STRESS\mt_iocp_server_viewOptiSector\st_iocp_server\x64\Debug\iocp_main.obj:iocp_main.cpp:398
5,mt_iocp_server_viewoptisector.exe!process_packet,247,1,0.674863387978142,0.00273224043715847,mt_iocp_server_viewOptiSector!process_packet:iocp_main.cpp:298
6,mt_iocp_server_viewoptisector.exe!do_move,174,0,0.475409836065574,0,mt_iocp_server_viewOptiSector!do_move:iocp_main.cpp:205
7,mt_iocp_server_viewoptisector.exe!get_selected_sector,87,0,0.237704918032787,0,mt_iocp_server_viewOptiSector!get_selected_sector:iocp_main.cpp:114
8,mt_iocp_server_viewoptisector.exe!std::unordered_set<SESSION *,std::hash<SESSION *>,std::equal_to<SESSION *>,std::allocator<SESSION *> >::unordered_set<SESSION *,std::hash<SESSION *>,std::equal_to<SESSION *>,std::allocator<SESSION *> >,43,0,0.117486338797814,0,mt_iocp_server_viewOptiSector!std::unordered_set<SESSION *,std::hash<SESSION *>,std::equal_to<SESSION *>,std::allocator<SESSION *> >::unordered_set<SESSION *,std::hash<SESSION *>,std::equal_to<SESSION *>,std::allocator<SESSION *> >:unordered_set:105
9,mt_iocp_server_viewoptisector.exe!std::_Hash<std::_Uset_traits<SESSION *,std::_Uhash_compare<SESSION *,std::hash<SESSION *>,std::equal_to<SESSION *> >,std::allocator<SESSION *>,0> >::_Hash<std::_Uset_traits<SESSION *,std::_Uhash_compare<SESSION *,std::hash<SESSION *>,std::equal_to<SESSION *> >,std::allocator<SESSION *>,0> ><std::allocator<std::_List_node<SESSION *,void *> > >,35,0,0.0956284153005464,0,mt_iocp_server_viewOptiSector!std::_Hash<std::_Uset_traits<SESSION *,std::_Uhash_compare<SESSION *,std::hash<SESSION *>,std::equal_to<SESSION *> >,std::allocator<SESSION *>,0> >::_Hash<std::_Uset_traits<SESSION *,std::_Uhash_compare<SESSION *,std::hash<SESSION *>,std::equal_to<SESSION *> >,std::allocator<SESSION *>,0> ><std::allocator<std::_List_node<SESSION *,void *> > >:xhash:403
